dir,file,ts,frame,x,y,z,v
jc,log2.json,1679416587979,0,-0.6592896580696106,1.141923189163208,0.0,0.5478743314743042
jc,log2.json,1679416587979,0,-0.5494080781936646,5.834542274475098,0.0,0.5478743314743042
jc,log2.json,1679416587979,0,-0.5494080781936646,5.834542274475098,0.0,-0.5478743314743042
jc,log2.json,1679416588012,1,-0.6592896580696106,1.141923189163208,0.0,0.5478743314743042
jc,log2.json,1679416588012,1,-0.7325440645217896,5.814388275146484,0.0,0.5478743314743042
jc,log2.json,1679416588012,1,-0.6180840730667114,1.1647417545318604,0.0,-0.5478743314743042
jc,log2.json,1679416588012,1,-0.5494080781936646,5.834542274475098,0.0,-0.5478743314743042
jc,log2.json,1679416588045,2,-0.5494080781936646,5.834542274475098,0.0,0.5478743314743042
jc,log2.json,1679416588045,2,-0.5494080781936646,5.834542274475098,0.0,-0.5478743314743042
jc,log2.json,1679416588079,3,-0.5494080781936646,5.834542274475098,0.0,0.5478743314743042
jc,log2.json,1679416588079,3,-0.5494080781936646,5.834542274475098,0.0,-0.5478743314743042
jc,log2.json,1679416588111,4,-0.6180840730667114,1.1647417545318604,0.0,0.5478743314743042
jc,log2.json,1679416588111,4,-0.5494080781936646,5.834542274475098,0.0,0.5478743314743042
jc,log2.json,1679416588111,4,-0.5494080781936646,5.834542274475098,0.0,-0.5478743314743042
jc,log2.json,1679416588145,5,-0.6180840730667114,1.1647417545318604,0.0,0.5478743314743042
jc,log2.json,1679416588145,5,-0.6180840730667114,1.1647417545318604,0.0,-0.5478743314743042
jc,log2.json,1679416588179,6,-0.5356728434562683,1.2048676013946533,0.0,0.5478743314743042
jc,log2.json,1679416588179,6,-0.5768784284591675,1.1856907606124878,0.0,-0.5478743314743042
jc,log2.json,1679416588213,7,-0.5768784284591675,1.1856907606124878,0.0,0.5478743314743042
jc,log2.json,1679416588213,7,-0.3662720322608948,5.848895072937012,0.0,0.5478743314743042
jc,log2.json,1679416588213,7,-0.6180840730667114,1.1647417545318604,0.0,-0.5478743314743042
jc,log2.json,1679416588213,7,0.8470040559768677,5.354244709014893,0.0,-0.5478743314743042
jc,log2.json,1679416588213,7,-0.3662720322608948,5.848895072937012,0.0,-0.5478743314743042
jc,log2.json,1679416588246,8,-0.5768784284591675,1.1856907606124878,0.0,0.5478743314743042
jc,log2.json,1679416588246,8,0.5082024335861206,5.396951198577881,0.0,0.5478743314743042
jc,log2.json,1679416588246,8,-0.3662720322608948,5.848895072937012,0.0,0.5478743314743042
jc,log2.json,1679416588246,8,-0.5768784284591675,1.1856907606124878,0.0,-0.5478743314743042
jc,log2.json,1679416588246,8,0.5082024335861206,5.396951198577881,0.0,-0.5478743314743042
jc,log2.json,1679416588246,8,-0.3662720322608948,5.848895072937012,0.0,-0.5478743314743042
jc,log2.json,1679416588279,9,-0.5356728434562683,1.2048676013946533,0.0,0.5478743314743042
jc,log2.json,1679416588279,9,-0.3845856189727783,1.7155261039733887,0.0,0.5478743314743042
jc,log2.json,1679416588279,9,-0.1831360161304474,5.857490062713623,0.0,0.5478743314743042
jc,log2.json,1679416588279,9,-0.5356728434562683,1.2048676013946533,0.0,-0.5478743314743042
jc,log2.json,1679416588279,9,-0.49446725845336914,1.6871390342712402,0.0,-0.5478743314743042
jc,log2.json,1679416588279,9,-0.1831360161304474,5.857490062713623,0.0,-0.5478743314743042
