ts,frame,x,y,z,v
1680172392475,30,1.3694146436869825e-34,1.753110463886022e-34,1.1963978316633993e-34,1.1662967962933243e-34
1680172392508,31,8.314164784601756e-35,8.351752479207371e-35,9.631738979473774e-35,1.9035787917435636e-34
1680172392540,32,1.610171613564104e-34,1.7455944172917117e-34,1.5575113033571888e-34,1.7832046115938852e-34
1680172392608,33,8.614988597450935e-35,1.5875995965521718e-34,1.2640963191605558e-34,1.3994989190790087e-34
1680172392643,34,1.4973217452033903e-34,1.4371405670386163e-34,9.631663215189443e-35,4.853442835046227e-35
1680172392643,34,3.7996595022117526e-35,8.991151955460726e-35,3.877031998271377e-34,1.401298464324817e-45
1680172392674,35,8.05080526241023e-35,8.953570574545472e-35,9.593066478069792e-35,8.915982879939857e-35
1680172392674,35,8.615017296043484e-35,1.6628365155458273e-34,8.765509271541286e-35,6.771852485447455e-35
1680172392674,35,1.1813408280964456e-34,1.226488879923267e-34,1.181348060141768e-34,1.053449568203125e-34
1680172392674,35,1.7079729731412588e-34,9.932662089453173e-35,7.486544441169641e-35,1.4371278248635244e-34
1680172392674,35,1.1587813236708649e-34,1.068499224930386e-34,7.260884538094672e-35,3.592777088241838e-35
1680172392742,36,1.2114433557933332e-34,8.013214123973509e-35,1.309237253736425e-34,8.991208204702122e-35
1680172392775,37,1.3393343860979133e-34,1.2264860100640121e-34,1.3995203856262356e-34,8.577423287747508e-35
1680172392775,37,9.404982216191568e-35,1.4672231205150895e-34,1.0910697496155058e-34,1.2415296974840229e-34
1680172392775,37,1.3769502053242265e-34,1.595121956836843e-34,1.3543874866562802e-34,1.0459292742171174e-34
1680172392775,37,1.0233522062528964e-34,1.0684994545191265e-34,1.1061048274577517e-34,1.5349449112693962e-34
1680172392808,38,1.60264179164537e-34,1.068497962192314e-34,1.745587070452019e-34,8.953631415561676e-35
1680172392808,38,8.464594771139651e-35,9.028741945953744e-35,1.0910695200267654e-34,1.5499759713086852e-34
1680172392808,38,7.825122974433072e-35,1.2565737292871442e-34,1.1663028803949448e-34,1.4597039744727838e-34
1680172392841,39,1.3468533025514786e-34,1.1061173400441032e-34,1.3995174009726105e-34,7.862750273096405e-35
1680172392841,39,4.4203268331362813e-35,7.524125248113044e-35,3.877031998271377e-34,1.401298464324817e-45
1680172392907,40,1.2866713208261132e-34,2.1671090131635736e-34,8.6526928083423e-35,1.1662910565748144e-34
1680172392975,41,2.0768080881463824e-34,8.65271002749783e-35,1.4521809254218913e-34,1.1963945026266635e-34
1680172393007,42,1.309242993454935e-34,9.329767796894471e-35,1.632739383184339e-34,1.2114441593539246e-34
1680172393007,42,1.294195747409448e-34,4.777730208182473e-35,1.3318107630751699e-34,1.0459210090224632e-34
1680172393007,42,1.2114358941592703e-34,1.828340724806206e-34,1.0384093246142203e-34,1.301716730161677e-34
1680172393041,43,1.1061094192325596e-34,8.727911819414205e-35,1.3468539913176998e-34,8.013231917100889e-35
1680172393074,44,1.1813425500119986e-34,1.1437301746167913e-34,6.884699943126395e-35,7.072765263933537e-35
1680172393074,44,3.498727782654588e-35,4.1005897868392896e-35,3.877031998271377e-34,1.401298464324817e-45
1680172393107,45,1.617688578513376e-34,8.72790894955495e-35,1.2565731553152932e-34,1.0534515197074184e-34
1680172393107,45,8.915998951151684e-35,1.497318645755395e-34,1.2565740736702548e-34,1.2866722391810748e-34
1680172393107,45,8.84075124148723e-35,6.470925357665098e-35,8.389375760067747e-35,1.1362035669404227e-34
1680172393208,46,8.08841935972099e-35,8.351729520333331e-35,1.1963870409926007e-34,1.0534453208114278e-34
1680172393208,46,1.4220887292183216e-34,1.3242882879961284e-34,8.502219199943729e-35,1.3919935483611267e-34
